表格 1
,type,Example 1,Example 2,
years,date,2022,2022,
planning period,object,1,1,
bid section,object,2,4,
Pipe name,object,,,
Welding joint number during construction period,object,,,
Branch name,object,,,
Upstream station/valve room,object,,,
Downstream station/valve room,object,,,
Construction bid section,object,,,
Construction station mileage,float64,,,
Upstream pipe number,object,,,
Downstream pipe number,object,,,
Construction record downstream pipe section type,object,Elbow/Elbow,Straight,
Construction record elbow pipe angle,float64,7.133,0,
Construction records downstream pipe section length,float64,12.13,11.713,
Construction records downstream pipe diameter,float64,1219,1219,
Construction records downstream pipe section wall thickness,float64,twenty two,18.4,
Welding type,object,Semi-automatic welding,Semi-automatic welding,
Welding joint type,object,Ordinary mouth,dead mouth,
Chrysostom or not,object,no,no,
Whether it is connected to the head or mouth,object,no,no,
Is it dead talk?,object,no,yes,
Whether to repair the port,object,no,no,
Whether to bend the pipe,object,yes,no,
Whether to change the wall thickness?,object,no,no,
Welding date,date,,,
Construction unit,object,,,
construction unit,object,,,
Name of construction team leader,object,,,
Welder name,object,,,
Welder number,object,,,
Welding procedure specification number,object,,,
Basic information_Testing unit,object,,,
Basic information_inspector,object,,,
Basic information_test date,date,,,
Construction period radiographic inspection report number,object,,,
Ultrasonic inspection report number during construction period,object,,,
Fully automatic ultrasonic inspection report number during construction period,object,,,
Sealing materials,object,,,
Supervision unit,object,,,
Data checking unit,object,,,
Person in charge of data investigation,object,,,
Is it suspected of being a black mouth?,object,no,no,
Suspected black mouth excavation verification results,object,,,
Is it suspected to be a public film?,object,,,
Are the suspected public films consistent with the re-examination negatives?,object,,,
Topographic information that can be found in the as-built data,object,,,
Burial depth information/meter recorded in the completion data,float64,,,
Radiographic weld number,object,,,
Upstream pipemaking weld type identified on negative,object,,,
Downstream pipemaking weld type identified on negative,object,,,
Spacing MM between intersection points of welds identified on the negative film,float64,,,
Are the spiral welds of the upstream and downstream steel pipes identified on the negative film parallel?,object,,,
Wall thickness recorded by the testing unit 1 (MM),float64,18.4,18.4,
Wall thickness recorded by the testing unit 2 (MM),float64,18.4,18.4,
Radiographic detection_One transillumination lengthMM,float64,3828,3828,
Ray detection_Image quality index,float64,11,11,
Radiographic Inspection_Assessment Standards,object,Q/SYGJX0112-2007,Q/SYGJX0112-2007,
Radiographic Inspection_Construction Period Assessment Unit,object,,,
Radiographic Inspection_Construction Period Assessor,object,,,
Construction period assessment date,date,,,
Radiographic inspection_Construction period assessment results,object,3500 air holes 7 points,2350 air hole 9 o'clock,
Construction period assessment grade,object,2,2,
Radiographic Inspection_Inspection Period Review Unit,object,,,
Radiographic Inspection_Re-evaluator during the investigation period,object,,,
Radiographic Inspection_Inspection Period Review Date,date,,,
Radiographic testing_Re-evaluation results during the screening period,object,3500 air holes 7 points,2350 air hole 9 o'clock,
Radiographic Inspection_Re-evaluation Level during the Inspection Period,object,2,2,
Does the original film have cracks?,object,,,
Radiographic testing_Qualitative results of re-evaluation during the investigation period,object,Same as original review,Same as original review,
Radiographic inspection_qualification,object,yes,yes,
Is there an abnormality in the root fusion line?,object,no,no,
Are there any traces of repair welding?,object,no,no,
Is there any doubt about the welding joint in the film?,object,no,no,
Radiographic Inspection_Re-evaluation and Recommended Disposal Measures,object,none,none,
Fully automatic ultrasonic detection of weld numbering,object,,,
Fully automatic ultrasonic testing_Testing unit,object,,,
Fully automatic ultrasonic testing_inspection personnel,object,,,
Fully automatic ultrasonic testing_testing date,date,,,
Fully automatic ultrasonic testing_detection length,float64,,,
Fully automatic ultrasonic testing_evaluation standards,object,,,
Fully automatic ultrasonic testing_Construction period assessment unit,object,,,
Fully automatic ultrasonic testing_Construction period evaluator,object,,,
AUT map construction period assessment date,date,,,
Fully automatic ultrasonic testing_Construction period assessment results,object,,,
Fully automatic ultrasonic testing_construction period assessment grade,object,,,
Fully automatic ultrasonic testing_Inspection period re-evaluation unit,object,,,
Fully automatic ultrasonic testing_Re-evaluator during the screening period,object,,,
Fully automatic ultrasonic testing_Inspection period re-evaluation date,date,,,
Fully automatic ultrasonic testing_Re-evaluation results during the screening period,object,,,
Fully automatic ultrasonic testing_Re-evaluation level during the investigation period,object,,,
Fully automatic ultrasonic testing_Qualitative results of re-evaluation during the investigation period,object,,,
Fully automatic ultrasonic testing_qualification,object,,,
Fully automatic ultrasonic testing_re-evaluation recommended disposal measures,object,,,
High Consequence Area Number,object,,,
high consequence area type,object,,,
high consequence area level,object,,,
Inspection starting station,object,,,
Inspection terminal site,object,,,
Internal mileage detection,float64,54032.614,53359.542,
Internal inspection ring weld number,float64,47710,47120,
Internal detection of downstream pipe section type,object,Cold bent pipe,Straight,
Internal detection of elbow elbow angle,float64,,0,
Internal detection of downstream pipe section length,float64,12.15,11.662,
Internal detection of downstream pipe diameter,float64,1219,1219,
Internal detection of downstream pipe section wall thickness,float64,twenty two,18.4,
Whether there is a miter,object,,,
Bending strain % detected by IMU,float64,,,
Is there any geometric deformation in the downstream pipe section?,object,,,
Geometric deformation type,object,,,
Internal testing date,date,,,
Internal testing unit,object,,,
upstream reference point,object,,,
Relative upstream reference point distance (M),float64,,,
Feature description,object,GWAN,WELD,
Whether to add new exceptions,object,no,,
unusual severity,object,serious,,
Circumferential length (MM),float64,3822,,
depth(%),float64,,,
Abnormal clock position (HRS:MINS),object,11:42,,
Internal heartbeat review date,date,,,
Internal detection signal review personnel,object,,,
Upstream pipemaking weld type identified on internal detection signal,object,Straight weld,spiral weld,
The clock position of the intersection point between the upstream pipemaking weld and the girth weld identified on the internal detection signal,object,8:38;@,11:56;@,
Downstream pipemaking weld type identified on internal detection signal,object,other,spiral weld,
The clock position of the intersection point of the downstream pipemaking weld and the girth weld identified on the internal detection signal,object,,8:34;@,
The circumferential distance MM between the two intersection points identified on the inner detection signal,float64,,1073,
Check whether the upstream and downstream pipe-making spiral welds identified on the internal detection signal are parallel.,object,unknown,yes,
Has the film been digitized?,object,,,
film digitizing unit,object,,,
Film digitizer,object,,,
Film digitization date,date,,,
digital piece number,object,,,
Coordinate System,object,,,
Zone number,object,6 degree zone,6 degree zone,
central meridian,float64,117,117,
Pipe top elevation,object,1551.615,1554.569,
elevation datum,object,,,
Design pressure/MPa,float64,10,10,
Operating pressure/MPa,float64,8.368,8.368,
Earth disaster risk level,object,,,
Earth disaster type,object,,,
Is there any third-party stacking disturbance near the welding joint?,object,,,
