表格 1
Inspection,Re-inspection_Radiation,Radiographic re-examination_Testing unit,object,,
,,Radiographic re-inspection_inspection personnel,object,,
,,Radiographic re-examination_test date,date,,
,,Radiographic re-examination_One transillumination length MM,float64,766,766
,,Radiographic reexamination_Image quality index,float64,10,11
,,Radiographic re-examination_evaluation standards,object,,
,,Film evaluation date,date,,
,,Radiographic re-examination_assessment unit,object,,
,,Radiographic reexamination_evaluator,object,,
,,Radiographic re-examination_assessment results,object," Defect 1: 1730mm, missing strip, 3mm, Ⅱ Defect 2: 2500-2900mm, concave, 400mm, Ⅱ. . . Defect 26: 1350mm, round defect, 1 point mm, Ⅰ"," Defect 1: 135mm, round missing, 13mm, Ⅲ Defect 2: 2350mm, round missing, 11mm, Ⅲ. . . Defect 37: 3790mm, round defect, 2mm, Ⅰ"
,,Radiographic re-examination_assessment level,object,Ⅱ,Ⅲ
,,Radiographic re-examination_whether it is qualified,object,qualified,Unqualified
,,Radiographic re-examination_recommended treatment measures,object,,
,,Radiographic re-inspection_Welding joint defect types,object,missing items,round and missing
,,Radiographic re-inspection_position of welding joint defect 1,object,1570,135mm
,,Radiographic re-inspection_length of welding joint defect 1 (mm),float64,3mm,13
,,Radiographic re-inspection_Welding joint defect type 2,object,missing items,round and missing
,,Radiographic re-inspection_position of welding joint defect 2,object,1730,2350mm
,,Radiographic re-inspection_length of welding joint defect 2 (mm),float64,3mm,11
,,Radiographic re-inspection_Welding joint defect type 3,object,round and missing,round and missing
,,Radiographic re-inspection_position of welding joint defect 3,object,1000,990mm
,,Radiographic re-inspection_length of welding joint defect 3 (mm),float64,6 o'clock,5
,Re-inspection_Ultrasound,Ultrasound re-examination_Testing unit,object,,
,,Ultrasound re-examination_testing personnel,object,,
,,Ultrasound re-examination_test date,date,,
,,Ultrasound re-examination_testing length,float64,3828,3828
,,Ultrasound re-examination_evaluation standards,object,SY/T4109-2020,SY/T4109-2020
,,Ultrasound re-examination_Test result evaluation date,date,,
,,Ultrasound re-examination_assessment unit,object,,
,,Ultrasound re-examination_evaluator,object,,
,,Ultrasound re-examination_assessment results,object," Defect 1: .mm, no recordable defect, .mm, .mm, .SL+_dB, Ⅰ"," Defect 1: None, no record defects, none, none, none, Ⅰ"
,,Ultrasound re-examination_assessment level,object,Ⅰ,Ⅰ
