表格 1
,secondary class feature,primary feature columns,type,Example 1,Example 2
Construction,Make-up Info,years,date,2022,2022
,,planning period,object,1,1
,,bid section,object,2,4
,Basic Info,Pipe name,object,xxx,xxx
,,Welding joint number during construction period,object,xxx,xxx
,,Branch name,object,xxx,xxx
,,Upstream station/valve room,object,xxx,xxx
,,Downstream station/valve room,object,xxx,xxx
,,Construction bid section,object,xxx,xxx
,,Construction station mileage,float64,xxx,xxx
,,Upstream pipe number,object,xxx,xxx
,,Downstream pipe number,object,xxx,xxx
,,Construction record downstream pipe section type,object,Elbow/Elbow,Straight
,,Construction record elbow pipe angle,float64,7.133,0
,,Construction records downstream pipe section length,float64,12.13,11.713
,,Construction records downstream pipe diameter,float64,xxx,xxx
,,Construction records downstream pipe section wall thickness,float64,twenty two,18.4
,,Welding type,object,Semi-automatic welding,Semi-automatic welding
,,Welding joint type,object,Ordinary mouth,dead mouth
,,Chrysostom or not,object,no,no
,,Whether it is connected to the head or mouth,object,no,no
,,Is it dead talk?,object,no,yes
,,Whether to repair the port,object,no,no
,,Whether to bend the pipe,object,yes,no
,,Whether to change the wall thickness?,object,no,no
,,Welding date,date,xxx,xxx
,,Construction unit,object,xxx,xxx
,,construction unit,object,xxx,xxx
,,Name of construction team leader,object,xxx,xxx
,,Welder name,object,xxx,xxx
,,Welder number,object,xxx,xxx
,,Welding procedure specification number,object,xxx,xxx
,,Basic information_Testing unit,object,xxx,xxx
,,Basic information_inspector,object,xxx,xxx
,,Basic information_test date,date,xxx,xxx
,,Construction period radiographic inspection report number,object,xxx,xxx
,,Ultrasonic inspection report number during construction period,object,xxx,xxx
,,Fully automatic ultrasonic inspection report number during construction period,object,xxx,xxx
,,Sealing materials,object,xxx,xxx
,,Supervision unit,object,xxx,xxx
,,Data checking unit,object,xxx,xxx
,,Person in charge of data investigation,object,xxx,xxx
,,Is it suspected of being a black mouth?,object,no,no
,,Suspected black mouth excavation verification results,object,xxx,xxx
,,Is it suspected to be a public film?,object,xxx,xxx
,,Are the suspected public films consistent with the re-examination negatives?,object,xxx,xxx
,,Topographic information that can be found in the as-built data,object,xxx,xxx
,,Burial depth information/meter recorded in the completion data,float64,xxx,xxx
,Radiation Info,Radiographic weld number,object,xxx,xxx
,,Upstream pipemaking weld type identified on negative,object,xxx,xxx
,,Downstream pipemaking weld type identified on negative,object,xxx,xxx
,,Spacing MM between intersection points of welds identified on the negative film,float64,xxx,xxx
,,Are the spiral welds of the upstream and downstream steel pipes identified on the negative film parallel?,object,xxx,xxx
,,Wall thickness recorded by the testing unit 1 (MM),float64,18.4,18.4
,,Wall thickness recorded by the testing unit 2 (MM),float64,18.4,18.4
,,Radiographic detection_One transillumination lengthMM,float64,3828,3828
,,Ray detection_Image quality index,float64,11,11
,,Radiographic Inspection_Assessment Standards,object,xxx,xxx
,,Radiographic Inspection_Construction Period Assessment Unit,object,xxx,xxx
,,Radiographic Inspection_Construction Period Assessor,object,xxx,xxx
,,Construction period assessment date,date,xxx,xxx
,,Radiographic inspection_Construction period assessment results,object,3500 air holes 7 points,2350 air hole 9 o'clock
,,Construction period assessment grade,object,2,2
,,Radiographic Inspection_Inspection Period Review Unit,object,xxx,xxx
,,Radiographic Inspection_Re-evaluator during the investigation period,object,xxx,xxx
,,Radiographic Inspection_Inspection Period Review Date,date,xxx,xxx
,,Radiographic testing_Re-evaluation results during the screening period,object,3500 air holes 7 points,2350 air hole 9 o'clock
,,Radiographic Inspection_Re-evaluation Level during the Inspection Period,object,2,2
,,Does the original film have cracks?,object,xxx,xxx
,,Radiographic testing_Qualitative results of re-evaluation during the investigation period,object,Same as original review,Same as original review
,,Radiographic inspection_qualification,object,yes,yes
,,Is there an abnormality in the root fusion line?,object,no,no
,,Are there any traces of repair welding?,object,no,no
,,Is there any doubt about the welding joint in the film?,object,no,no
,,Radiographic Inspection_Re-evaluation and Recommended Disposal Measures,object,none,none
,Auto Ultrasonic Info,Fully automatic ultrasonic detection of weld numbering,object,xxx,xxx
,,Fully automatic ultrasonic testing_Testing unit,object,xxx,xxx
,,Fully automatic ultrasonic testing_inspection personnel,object,xxx,xxx
,,Fully automatic ultrasonic testing_testing date,date,xxx,xxx
,,Fully automatic ultrasonic testing_detection length,float64,xxx,xxx
,,Fully automatic ultrasonic testing_evaluation standards,object,xxx,xxx
,,Fully automatic ultrasonic testing_Construction period assessment unit,object,xxx,xxx
,,Fully automatic ultrasonic testing_Construction period evaluator,object,xxx,xxx
,,AUT map construction period assessment date,date,xxx,xxx
,,Fully automatic ultrasonic testing_Construction period assessment results,object,xxx,xxx
,,Fully automatic ultrasonic testing_construction period assessment grade,object,xxx,xxx
,,Fully automatic ultrasonic testing_Inspection period re-evaluation unit,object,xxx,xxx
,,Fully automatic ultrasonic testing_Re-evaluator during the screening period,object,xxx,xxx
,,Fully automatic ultrasonic testing_Inspection period re-evaluation date,date,xxx,xxx
,,Fully automatic ultrasonic testing_Re-evaluation results during the screening period,object,xxx,xxx
,,Fully automatic ultrasonic testing_Re-evaluation level during the investigation period,object,xxx,xxx
,,Fully automatic ultrasonic testing_Qualitative results of re-evaluation during the investigation period,object,xxx,xxx
,,Fully automatic ultrasonic testing_qualification,object,xxx,xxx
